ORDEN	SKU	VENTA_ALTA	MARKETING	ACTUALIZACIONES	ACTUALIZADO	VENTAS_ACUMULADAS	PRICE	LANZAMIENTO	CANTIDAD	PRECIO_MIN	SD_PRECIO
53647	612837	0	S	0	0	802372	34.99	2011	135	22.93	5.95
21161	296508	1	D	1	0	619532	79.95	2008	71	70.08	7.48
11827	573509	0	D	3	1	5173177	87.0	1995	20	33.24	15.29
3471	2473265	0	D	3	1	6919851	70.95	1989	26	30.73	9.98
24423	127664	0	D	3	1	5756033	55.0	2005	25	40.81	48.59
35030	864793	0	D	3	1	126986	191.2	2014	43	116.71	91.7
30140	3522581	0	D	0	0	1812611	6.99	2006	13	0.0	13.78
49412	166803	0	S	3	1	966364	35.0	2005	66	16.86	6.98
64763	55020	1	S	4	1	246815	178.69	2007	50	194.39	101.25
364	146221	0	D	6	1	61849	168.4	2009	110	39.98	41.49
48715	204143	0	S	1	0	305985	82.99	2010	36	72.76	13.56
4072	657690	0	D	3	1	804983	103.25	2004	17	188.49	37.93
24295	60640	0	D	2	1	597611	21.3	2007	34	107.94	43.89
30391	887462	0	D	2	1	142216	44.95	2015	26	41.34	38.39
55531	646623	0	S	2	1	756236	49.95	2005	21	26.87	17.34
44539	872144	0	S	0	0	2566025	238.0	2009	17	273.97	8.65
11838	60167	0	D	2	1	2792230	6.37	2001	25	11.06	4.58
47801	54371	0	S	2	1	1832263	100.0	2002	52	98.99	14.9
5407	100754	1	D	6	1	239701	0.0	1998	50	147.54	43.99
14143	537955	1	D	1	0	727959	94.95	2008	111	53.73	9.01
48713	174398	0	S	2	1	679692	34.0	2005	71	10.31	134.18
8268	55032	0	D	7	1	506046	182.8	2008	125	43.89	22.76
4524	52084	1	D	12	1	13080	305.8	2011	102	113.99	62.91
70251	178649	0	S	11	1	1164588	0.0	2009	13	12.65	76.02
58085	114058	0	S	2	1	2416568	44.99	2000	56	18.98	12.76
32914	132564	0	D	5	1	263876	92.2	2008	68	66.48	27.81
69841	539765	0	S	2	1	504273	51.0	2012	23	33.94	47.76
69023	1437430	0	S	30	1	53501	77.0	2015	25	0.0	49.34
1448	2563229	0	D	0	0	11203718	50.0	1995	14	43.99	38.6
60170	874338	1	S	3	1	1195425	92.0	2014	18	53.98	66.55
14387	567381	0	D	8	1	634401	146.95	2007	44	40.23	48.85
17580	109435	0	D	3	1	418389	16.99	2006	40	128.98	28.94
41909	191937	0	S	5	1	684054	90.02	2003	22	37.94	87.11
55844	789298	0	S	3	1	4645061	59.95	2003	19	33.59	18.98
67296	608039	0	S	2	1	3254286	174.95	2001	39	14.03	7.93
11390	544634	1	D	13	1	152286	79.6	2013	44	47.64	49.6
31607	327760	0	D	4	1	2661072	0.0	2009	33	83.99	44.59
56882	609191	0	S	5	1	1393213	39.95	2005	52	12.19	8.0
53610	633405	0	S	7	1	247742	49.99	2006	26	28.03	44.21
77997	1492315	0	S	2	1	686056	60.95	2014	17	5.05	28.59
21194	199028	0	D	0	0	4939026	56.95	1998	28	37.89	10.99
69931	536390	0	S	5	1	255961	82.95	2013	33	42.51	51.99
78229	546341	0	S	0	0	169746	89.99	2001	59	0.0	53.99
9463	53414	1	D	21	1	36661	403.95	2010	103	166.0	33.98
20497	873822	0	D	3	1	1853920	0.0	2006	17	139.56	118.88
55401	616924	1	S	3	1	15504	141.0	2012	96	48.29	55.55
11600	143280	0	D	4	1	551717	202.0	2009	31	73.99	58.87
82955	1560969	0	S	0	0	65871	9.99	2012	33	0.0	9.11
41063	101104	0	S	2	1	3887930	74.95	1998	28	6.99	40.68
35881	524958	0	D	5	1	60780	126.4	2008	35	92.99	51.9
7982	200423	0	D	2	1	330782	227.95	2008	26	13.33	63.99
17585	759833	0	D	3	1	751836	85.0	2002	30	19.05	12.9
6830	618790	0	D	3	1	1488648	120.0	2000	33	91.79	62.95
22316	252021	0	D	1	0	322760	89.95	2009	22	0.0	33.98
72099	864899	0	S	6	1	39223	67.2	2014	53	40.26	37.87
68257	843671	0	S	0	0	1048804	43.61	1984	28	13.7	56.41
35024	623389	0	D	2	1	84325	184.75	2012	41	123.55	106.54
16744	870620	0	D	1	0	4518771	32.0	1996	26	12.87	5.99
22136	600194	0	D	4	1	1802014	59.95	2007	20	63.99	104.05
61751	534145	1	S	2	1	363747	56.95	2012	30	32.93	46.9
20560	121263	0	D	5	1	73422	228.8	2011	55	153.47	28.23
27777	253879	1	D	1	0	96903	125.95	2011	59	73.48	67.89
4700	533950	1	D	4	1	465227	247.95	2006	56	118.76	66.61
63868	118720	1	S	3	1	87572	53.32	2009	56	4.47	20.9
83662	268719	0	S	3	1	1325618	155.0	2009	24	0.0	16.99
27482	233593	0	D	1	0	1551115	49.0	2008	14	33.99	36.8
28025	56862	0	D	3	1	2239939	27.99	2006	23	42.82	27.96
27961	231537	0	D	1	0	2121960	94.95	1998	26	98.7	35.0
40684	682083	0	S	7	1	29099	26.0	2012	13	0.0	0.0
35015	862698	0	D	2	1	3129622	69.95	1997	21	47.97	23.98
84922	867083	0	S	4	1	163655	142.8	2014	38	65.31	73.99
57494	2760394	0	S	1	0	314145	40.0	2003	28	21.6	31.98
32277	607724	1	D	3	1	906588	65.8	2007	51	45.24	7.99
41397	144736	0	S	2	1	639503	160.6	2003	31	5.13	31.95
10158	875997	1	D	5	1	2142478	0.0	2010	10	102.26	0.0
46797	651977	0	S	4	1	1550294	318.99	2007	18	0.0	224.3
70462	1845444	0	S	2	1	754731	51.95	2008	27	28.99	38.34
33749	53833	1	D	6	1	48772	50.0	2009	138	62.83	33.99
74582	54543	0	S	1	0	884918	180.95	2007	142	0.0	11.42
22932	619373	0	D	10	1	212635	227.95	2009	31	62.4	29.98
892	244408	0	D	12	1	425914	299.95	2011	47	172.09	63.94
58033	873615	0	S	6	1	3232868	119.95	2004	50	81.88	8.98
46419	902347	0	S	3	1	397190	81.95	2010	15	126.49	68.48
66436	52427	0	S	9	1	533894	110.4	2005	52	103.48	17.6
36937	2620009	0	S	3	1	1348569	104.95	2004	64	54.56	10.98
52215	225453	0	S	0	0	728846	39.95	2000	31	116.99	43.19
71683	881412	0	S	5	1	16383	49.95	2015	49	51.98	34.96
45829	634230	0	S	2	1	985943	79.95	1994	28	53.99	55.97
55342	917291	0	S	4	1	321788	61.95	2000	56	25.99	23.99
36811	183043	0	S	3	1	29431	287.95	2004	36	23.55	160.42
68132	257489	0	S	2	1	2768584	173.95	1998	12	26.64	95.99
51044	868459	0	S	3	1	527059	50.0	2005	20	23.68	48.97
13644	3614341	0	D	2	1	5748013	26.95	1988	21	0.0	6.84
16595	406147	1	D	4	1	1323251	163.95	2005	25	94.86	42.87
39441	2649413	0	S	2	1	151649	75.95	2002	18	0.0	40.99
76894	614653	0	S	1	0	904440	49.99	2009	90	28.92	21.32
49131	895876	1	S	3	1	3394165	76.95	2000	12	52.6	76.95
53174	723368	0	S	1	0	2968641	200.0	2009	13	2271.99	129.53
25792	176899	0	D	7	1	859117	158.95	2000	67	182.39	21.92
20000	547069	1	D	7	1	27737	74.25	2012	60	52.27	22.59
74259	549640	0	S	2	1	944271	42.0	2007	29	7.6	40.88
27791	741419	1	D	4	1	1147860	101.0	2008	45	57.5	13.95
77831	542220	0	S	2	1	186908	241.95	2002	59	84.4	73.98
78613	667288	0	S	2	1	260343	65.0	2012	31	31.05	40.15
29391	195011	0	D	5	1	1568826	44.95	2006	86	28.13	25.98
9058	287474	1	D	6	1	642712	99.6	2011	51	65.56	49.19
32034	60922	1	D	3	1	356945	40.99	2002	86	92.28	33.93
18662	120688	1	D	3	1	56601	210.4	2009	197	157.76	23.93
23183	130992	1	D	8	1	42800	99.0	2011	135	5.97	23.7
27559	254165	0	D	6	1	272435	325.95	2010	62	65.68	41.98
22543	147324	1	D	3	1	357943	115.0	2006	80	84.7	38.66
27829	299446	0	D	8	1	2285136	64.95	2005	50	53.94	9.99
15831	155633	0	D	1	0	1714979	58.95	2003	25	73.94	38.99
73711	527988	0	S	1	0	876458	74.95	2010	51	37.58	23.99
23845	632933	0	D	4	1	1233472	130.0	2007	17	83.14	96.14
32342	120360	0	D	1	0	1058235	71.0	2007	40	33.62	33.86
34047	615637	0	D	2	1	482493	34.95	2008	55	23.21	17.72
15714	566894	0	D	2	1	650661	53.99	1986	41	84.99	53.94
62353	532124	0	S	2	1	1438426	40.95	2007	68	0.0	4.0
17273	625688	0	D	4	1	2783102	55.95	2004	22	44.54	28.94
32188	774817	0	D	5	1	6261839	0.0	2000	10	182.06	124.61
78847	526267	0	S	4	1	1341420	60.95	2010	34	3.0	11.62
70843	145073	0	S	4	1	893148	54.99	2006	24	6.86	46.03
30475	607313	0	D	7	1	596538	64.67	2004	42	46.53	12.93
39894	559753	0	S	1	0	792281	94.95	1991	43	0.0	28.99
57934	107387	0	S	1	0	736138	0.0	2003	28	43.49	38.56
24257	908137	0	D	3	1	2276050	56.95	2005	20	49.36	39.99
14201	222234	1	D	2	1	353455	80.0	2010	55	13.69	33.94
29270	537827	1	D	3	1	10094	24.98	2011	325	73.71	20.98
64113	1743986	0	S	4	1	1550383	34.95	2010	22	22.49	33.94
37601	553253	1	S	3	1	1290582	302.73	2011	23	241.16	163.97
13476	169978	1	D	2	1	103491	149.95	2011	69	68.91	99.16
83948	743429	0	S	2	1	1112112	75.95	2002	17	23.97	62.21
43300	56870	0	S	20	1	2077338	4.83	2010	46	98.22	7.39
19478	907572	0	D	1	0	2782120	72.95	2006	33	28.93	28.99
6509	54544	1	D	4	1	47384	153.33	2010	117	98.34	58.94
25693	404342	0	D	0	0	19906	49.99	2006	94	35.44	27.82
9741	51962	0	D	6	1	1391087	123.6	2008	46	63.98	53.35
63815	115216	0	S	3	1	1526848	131.0	2001	40	187.06	38.99
58306	543176	0	S	6	1	443858	57.95	2004	27	35.54	53.09
79346	615631	1	S	0	0	52080	122.75	2009	91	59.62	66.87
37030	697199	0	S	2	1	539673	39.95	1998	15	4.31	90.57
51899	118039	0	S	9	1	293081	93.8	2005	21	4.66	33.99
4108	52382	0	D	6	1	84645	20.51	2006	126	108.92	13.49
63633	878081	0	S	11	1	996634	151.0	2014	41	146.55	93.97
34513	55426	0	D	4	1	29135	295.95	2010	85	149.13	69.37
61577	268433	0	S	2	1	126752	40.0	2006	37	23.99	33.66
60522	540879	0	S	2	1	208569	54.99	2013	31	30.01	53.48
69559	262782	0	S	3	1	188349	54.95	2010	15	40.99	50.65
1976	829982	0	D	1	0	4216180	62.95	1991	18	13.9	69.9
22951	897659	1	D	2	1	3390296	41.0	2009	18	21.68	42.45
16211	145241	0	D	1	0	2490119	68.0	2007	40	60.2	13.93
73076	58004	0	S	6	1	3121777	89.8	2001	29	169.2	43.95
30288	641089	0	D	3	1	1979179	218.95	2009	12	161.28	79.02
64116	583199	0	S	82	1	538894	129.95	2001	31	90.03	58.13
12430	531859	0	D	12	1	332283	155.2	2012	73	101.59	58.89
49629	54380	0	S	2	1	2144387	74.4	2005	130	68.41	4.98
83827	649724	0	S	1	0	97164	39.95	2012	19	0.0	33.99
75481	299850	0	S	0	0	207884	30.95	2005	31	14.32	8.21
74548	258371	0	S	2	1	346732	88.0	2001	22	43.56	101.35
48935	608841	0	S	8	1	2899463	119.95	1993	32	85.5	48.6
45837	615566	0	S	1	0	19005	113.89	2013	66	65.94	83.98
34431	390129	1	D	0	0	2537480	32.0	1996	22	62.38	73.81
81527	639316	0	S	1	0	273282	36.95	2008	75	30.32	26.98
12147	609167	0	D	2	1	4000018	53.95	2004	37	21.49	13.69
65700	896501	0	S	3	1	9147548	145.0	1992	17	132.95	83.25
64476	909055	0	S	2	1	1590823	187.0	2001	29	54.07	127.91
52196	551751	0	S	4	1	1188153	58.95	2001	41	26.79	9.46
22753	288595	1	D	3	1	185011	116.2	2005	42	84.91	27.73
38058	349801	0	S	5	1	221229	178.95	2003	30	57.82	153.86
31236	3122568	0	D	0	0	6573116	55.0	2004	10	45.75	77.8
78961	52911	0	S	4	1	2083572	97.33	2001	53	162.98	18.98
41106	108411	0	S	5	1	927956	72.81	2003	20	0.0	72.81
80878	137448	0	S	1	0	709191	74.99	1997	24	40.51	61.39
21341	298003	1	D	5	1	587665	229.95	2006	48	52.99	23.39
30119	868412	0	D	2	1	1254980	52.95	2001	36	18.24	52.87
