SKU	PRED	PRED_CLASS
562224	0.368	0
657980	0.076	0
3018975	0.068	0
827494	0.036	0
248827	0.246	0
410185	0.092	0
126544	0.064	0
922228	0.56	1
748412	0.41	0
2665767	0.048	0
156858	0.12	0
609391	0.028	0
50536	0.104	0
619616	0.1	0
163455	0.172	0
1491990	0.036	0
626322	0.064	0
192879	0.082	0
143292	0.108	0
113083	0.144	0
645940	0.1	0
1768174	0.012	0
177720	0.03	0
539458	0.048	0
697624	0.084	0
484058	0.076	0
245008	0.07	0
3485005	0.028	0
288685	0.366	0
55871	0.39	0
689361	0.28	0
55354	0.48	1
52318	0.098	0
619423	0.35	0
145666	0.098	0
525769	0.136	0
133444	0.054	0
544895	0.106	0
2271315	0.088	0
130583	0.044	0
544708	0.488	1
249828	0.01	0
169636	0.114	0
912674	0.01	0
626243	0.096	0
198310	0.048	0
249744	0.184	0
54162	0.166	0
285443	0.512	1
529925	0.072	0
141225	0.204	0
867918	0.324	0
647045	0.114	0
255645	0.4	0
109183	0.498	1
608765	0.084	0
529390	0.016	0
741335	0.078	0
794266	0.068	0
57662	0.39	0
525092	0.116	0
203679	0.26	0
446713	0.074	0
544713	0.066	0
169894	0.158	0
906514	0.058	0
54152	0.46	1
657973	0.118	0
598839	0.218	0
164297	0.152	0
795606	0.05	0
597332	0.156	0
1871320	0.004	0
161718	0.046	0
50700	0.594	1
218499	0.09	0
762420	0.07	0
921370	0.126	0
631630	0.182	0
617377	0.218	0
200328	0.334	0
904094	0.008	0
607617	0.016	0
148649	0.12	0
245247	0.062	0
905225	0.216	0
533140	0.05	0
249240	0.144	0
250646	0.032	0
296172	0.056	0
658297	0.098	0
126533	0.49	1
2168893	0.16	0
2679779	0.072	0
199335	0.234	0
863183	0.054	0
2399372	0.362	0
613810	0.124	0
57465	0.398	0
567549	0.184	0
525723	0.128	0
133370	0.354	0
534014	0.448	1
169483	0.268	0
153361	0.042	0
207756	0.022	0
2406381	0.082	0
561647	0.104	0
763558	0.204	0
528282	0.114	0
558998	0.048	0
108499	0.088	0
635890	0.158	0
670544	0.008	0
118330	0.236	0
186162	0.098	0
55822	0.224	0
170156	0.024	0
254160	0.284	0
618184	0.036	0
162651	0.152	0
354891	0.194	0
780206	0.082	0
628965	0.142	0
544670	0.738	1
545332	0.418	0
691856	0.052	0
127150	0.05	0
213174	0.03	0
53865	0.032	0
646445	0.036	0
551937	0.25	0
640755	0.196	0
159470	0.148	0
285628	0.22	0
132649	0.184	0
906975	0.186	0
634560	0.108	0
1534049	0.05	0
889960	0.008	0
664683	0.274	0
525081	0.288	0
53763	0.196	0
583829	0.056	0
607942	0.026	0
286182	0.256	0
712854	0.032	0
755008	0.064	0
148644	0.21	0
145516	0.218	0
533322	0.476	1
169845	0.118	0
58018	0.172	0
598943	0.108	0
164490	0.234	0
50754	0.062	0
2263434	0.06	0
832493	0.04	0
704513	0.046	0
534833	0.622	1
147620	0.076	0
259366	0.214	0
2253395	0.064	0
531400	0.056	0
146392	0.618	1
245320	0.062	0
56465	0.252	0
717728	0.022	0
532151	0.204	0
193311	0.208	0
55599	0.1	0
865571	0.062	0
270662	0.084	0
919490	0.382	0
2254008	0.038	0
212555	0.108	0
876041	0.196	0
51069	0.514	1
108936	0.228	0
636556	0.156	0
111477	0.632	1
609527	0.104	0
619991	0.11	0
50505	0.218	0
665054	0.012	0
109891	0.062	0
540069	0.402	0
385668	0.056	0
525852	0.102	0
147393	0.224	0
534826	0.092	0
628641	0.076	0
878476	0.224	0
50242	0.086	0
556813	0.11	0
2266487	0.048	0
901995	0.02	0
664179	0.072	0
554694	0.038	0
621912	0.428	0
50371	0.236	0
130756	0.178	0
757733	0.09	0
176941	0.286	0
199156	0.068	0
1435115	0.176	0
58480	0.006	0
1481572	0.264	0
2691753	0.014	0
119206	0.69	1
198302	0.048	0
544943	0.164	0
613280	0.11	0
390352	0.596	1
289790	0.104	0
2390790	0.382	0
545273	0.284	0
121389	0.384	0
130348	0.072	0
165268	0.334	0
1723394	0.056	0
617691	0.102	0
550151	0.15	0
244131	0.268	0
801281	0.06	0
103312	0.046	0
904942	0.048	0
881555	0.046	0
1472100	0.06	0
861930	0.1	0
285380	0.292	0
2680719	0.302	0
156171	0.256	0
599508	0.23	0
641043	0.554	1
616384	0.082	0
2679611	0.092	0
203506	0.016	0
127383	0.156	0
232799	0.134	0
143474	0.044	0
897857	0.042	0
2353368	0.084	0
802309	0.146	0
366217	0.09	0
545619	0.838	1
119608	0.062	0
659113	0.208	0
2261701	0.16	0
57002	0.344	0
113940	0.232	0
402797	0.124	0
644566	0.29	0
788932	0.166	0
2512513	0.038	0
625247	0.318	0
2071479	0.162	0
54739	0.274	0
569578	0.08	0
607572	0.058	0
607625	0.264	0
2611049	0.076	0
114215	0.144	0
708310	0.072	0
868250	0.192	0
116351	0.302	0
862017	0.012	0
147344	0.202	0
340222	0.354	0
788304	0.02	0
621689	0.136	0
620233	0.41	0
340561	0.07	0
131195	0.074	0
193573	0.378	0
128458	0.182	0
52540	0.15	0
646775	0.22	0
54558	0.394	0
532632	0.168	0
57756	0.232	0
50661	0.516	1
115638	0.148	0
58477	0.308	0
109220	0.104	0
169780	0.262	0
555281	0.034	0
540521	0.064	0
874846	0.188	0
110989	0.294	0
113420	0.396	0
564102	0.104	0
734878	0.068	0
177912	0.112	0
290584	0.182	0
232793	0.122	0
898217	0.03	0
526024	0.1	0
276656	0.024	0
677616	0.074	0
1573942	0.152	0
178879	0.424	0
265848	0.044	0
254467	0.108	0
199005	0.138	0
131588	0.44	1
631582	0.114	0
137486	0.06	0
615518	0.206	0
920493	0.184	0
743001	0.222	0
637537	0.432	1
904113	0.094	0
134244	0.26	0
2570941	0.288	0
718407	0.122	0
2679938	0.134	0
56363	0.194	0
249951	0.12	0
2098830	0.034	0
722319	0.038	0
1452199	0.006	0
2855368	0.03	0
530254	0.084	0
133209	0.398	0
287585	0.474	1
109021	0.074	0
226038	0.026	0
169156	0.16	0
569725	0.394	0
900649	0.084	0
161617	0.064	0
2273704	0.05	0
60749	0.238	0
50398	0.596	1
528448	0.556	1
871955	0.144	0
279290	0.266	0
750809	0.12	0
643639	0.022	0
50768	0.666	1
366592	0.03	0
1658010	0.07	0
199198	0.072	0
263068	0.076	0
532141	0.136	0
141950	0.486	1
255415	0.11	0
533223	0.006	0
254456	0.12	0
108132	0.416	0
592826	0.054	0
285302	0.136	0
52598	0.026	0
532316	0.068	0
53705	0.394	0
552185	0.234	0
532521	0.076	0
560095	0.282	0
422064	0.22	0
308361	0.042	0
538491	0.548	1
537983	0.328	0
2566775	0.234	0
553834	0.078	0
250132	0.036	0
552145	0.038	0
253909	0.372	0
542512	0.018	0
121810	0.408	0
1596354	0.044	0
712309	0.06	0
608163	0.094	0
270064	0.024	0
117685	0.082	0
880445	0.282	0
147118	0.182	0
662375	0.072	0
50461	0.2	0
789723	0.136	0
626467	0.272	0
664736	0.28	0
661650	0.048	0
157854	0.036	0
670900	0.11	0
869584	0.046	0
887023	0.032	0
115390	0.1	0
145607	0.022	0
788924	0.024	0
664119	0.23	0
559375	0.37	0
607476	0.3	0
865598	0.068	0
750593	0.092	0
1477333	0.122	0
637314	0.034	0
258361	0.112	0
52348	0.058	0
1936380	0.15	0
533646	0.42	0
169293	0.054	0
162649	0.318	0
658225	0.05	0
477655	0.028	0
129458	0.562	1
246719	0.476	1
243964	0.226	0
768120	0.024	0
247929	0.298	0
617718	0.196	0
538865	0.204	0
865674	0.004	0
2098966	0.18	0
50212	0.636	1
662979	0.08	0
561657	0.408	0
56790	0.564	1
541363	0.28	0
129013	0.022	0
243867	0.53	1
802718	0.376	0
862274	0.034	0
615122	0.06	0
545775	0.328	0
525023	0.01	0
910895	0.058	0
133462	0.124	0
574771	0.104	0
873181	0.018	0
298362	0.238	0
764120	0.026	0
116798	0.076	0
527303	0.148	0
607334	0.25	0
1449104	0.03	0
252653	0.1	0
537854	0.372	0
622056	0.164	0
532635	0.13	0
587675	0.452	1
549550	0.028	0
878068	0.064	0
3608849	0.044	0
246273	0.18	0
167364	0.032	0
1584475	0.066	0
148412	0.032	0
2343112	0.036	0
286057	0.33	0
104436	0.07	0
161867	0.528	1
280102	0.112	0
547042	0.11	0
133317	0.484	1
610095	0.124	0
191893	0.096	0
663159	0.006	0
162366	0.248	0
214948	0.38	0
164265	0.114	0
117938	0.376	0
533667	0.576	1
609226	0.234	0
569435	0.232	0
660870	0.03	0
2901857	0.196	0
111712	0.108	0
830292	0.04	0
915044	0.012	0
610435	0.254	0
534763	0.058	0
583573	0.28	0
629850	0.016	0
120250	0.716	1
141912	0.274	0
631448	0.13	0
629588	0.14	0
107243	0.19	0
617986	0.274	0
156675	0.19	0
2904233	0.12	0
743042	0.152	0
607180	0.08	0
1474848	0.02	0
626398	0.054	0
652905	0.03	0
148421	0.282	0
916407	0.034	0
107988	0.162	0
329984	0.158	0
614125	0.044	0
2025427	0.176	0
617678	0.408	0
705444	0.092	0
54328	0.246	0
126430	0.17	0
153911	0.126	0
641679	0.014	0
531375	0.234	0
349970	0.67	1
618668	0.458	1
539296	0.086	0
607652	0.202	0
613337	0.078	0
606775	0.018	0
178247	0.178	0
557159	0.122	0
111567	0.038	0
133323	0.288	0
53125	0.232	0
54283	0.102	0
2953725	0.056	0
549581	0.06	0
287184	0.018	0
231311	0.064	0
530821	0.188	0
183334	0.372	0
879037	0.104	0
127435	0.236	0
60315	0.362	0
246549	0.034	0
2385368	0.048	0
117793	0.348	0
528451	0.028	0
715636	0.058	0
531401	0.032	0
3461329	0.056	0
60461	0.128	0
510650	0.02	0
914641	0.052	0
261360	0.18	0
54631	0.192	0
632962	0.058	0
2363328	0.27	0
169360	0.13	0
858621	0.054	0
50740	0.194	0
2253983	0.018	0
244174	0.732	1
60560	0.194	0
166068	0.456	1
3588947	0.184	0
212541	0.3	0
146475	0.566	1
57433	0.348	0
51217	0.29	0
2675598	0.074	0
593591	0.398	0
51482	0.27	0
2259078	0.176	0
552420	0.056	0
52439	0.49	1
130409	0.102	0
183421	0.172	0
2426494	0.01	0
747024	0.292	0
427356	0.008	0
660675	0.328	0
61213	0.082	0
2502823	0.05	0
296515	0.128	0
275595	0.082	0
587710	0.486	1
163535	0.37	0
610016	0.266	0
528722	0.248	0
154030	0.402	0
626431	0.098	0
60865	0.332	0
655581	0.106	0
633218	0.098	0
561922	0.364	0
876448	0.256	0
178930	0.632	1
109805	0.088	0
610126	0.324	0
549764	0.102	0
113845	0.542	1
55407	0.402	0
743267	0.062	0
254027	0.196	0
294142	0.442	1
343937	0.034	0
528207	0.07	0
552913	0.014	0
549852	0.364	0
120568	0.306	0
51037	0.394	0
53837	0.57	1
50023	0.504	1
1455869	0.284	0
119673	0.178	0
451791	0.178	0
422736	0.156	0
598767	0.078	0
433367	0.292	0
537007	0.088	0
542577	0.044	0
591727	0.024	0
243779	0.294	0
166692	0.034	0
625432	0.238	0
50016	0.436	1
638552	0.014	0
557487	0.058	0
246642	0.022	0
892731	0.024	0
543846	0.116	0
2400010	0.318	0
113871	0.09	0
265165	0.312	0
618611	0.07	0
827479	0.164	0
2011508	0.146	0
326406	0.132	0
2875189	0.086	0
125571	0.04	0
864532	0.162	0
247825	0.15	0
107302	0.3	0
539256	0.546	1
162337	0.078	0
57657	0.302	0
386451	0.044	0
177318	0.054	0
567777	0.204	0
912229	0.086	0
2535511	0.032	0
890943	0.062	0
56743	0.164	0
620788	0.412	0
60755	0.208	0
169170	0.484	1
614788	0.27	0
2502907	0.14	0
905744	0.228	0
795558	0.326	0
395540	0.032	0
50211	0.356	0
716345	0.036	0
630039	0.08	0
55785	0.06	0
679068	0.29	0
2667647	0.332	0
631502	0.13	0
552194	0.566	1
889376	0.07	0
630001	0.1	0
530252	0.08	0
142922	0.012	0
603814	0.114	0
208130	0.178	0
137507	0.054	0
103968	0.142	0
2940544	0.004	0
1437530	0.058	0
135188	0.202	0
142703	0.106	0
592305	0.046	0
868102	0.06	0
51318	0.218	0
50060	0.164	0
752624	0.08	0
131626	0.076	0
422975	0.342	0
881645	0.018	0
51888	0.338	0
870174	0.1	0
631669	0.042	0
625441	0.032	0
51111	0.206	0
108076	0.336	0
255805	0.318	0
668051	0.036	0
795438	0.19	0
531659	0.128	0
55507	0.46	1
623797	0.118	0
2383407	0.096	0
164608	0.068	0
250077	0.36	0
433597	0.082	0
915176	0.088	0
592071	0.134	0
832320	0.05	0
118976	0.16	0
796540	0.12	0
2566898	0.098	0
775596	0.106	0
118277	0.37	0
539274	0.554	1
2665016	0.488	1
867792	0.108	0
586049	0.294	0
1753823	0.26	0
2438396	0.234	0
544822	0.064	0
107297	0.294	0
720355	0.052	0
